regionsCode,regions,cx,cy,year,income
E12000007,London,530813.4104302553,180106.88251880676,2019,31266.31
E12000007,London,530813.4104302553,180106.88251880676,2020,30761.38
E12000007,London,530813.4104302553,180106.88251880676,2021,32323.66
E12000008,South East,502802.1962601043,156195.5971508409,1997,12733.11
E12000008,South East,502802.1962601043,156195.5971508409,1998,12985.35
E12000008,South East,502802.1962601043,156195.5971508409,1999,13414.32
E12000008,South East,502802.1962601043,156195.5971508409,2000,14106.9
E12000008,South East,502802.1962601043,156195.5971508409,2001,14571.79
E12000008,South East,502802.1962601043,156195.5971508409,2002,14914.24
E12000008,South East,502802.1962601043,156195.5971508409,2003,15124.58
E12000008,South East,502802.1962601043,156195.5971508409,2004,15700.65
E12000008,South East,502802.1962601043,156195.5971508409,2005,16290.37
E12000008,South East,502802.1962601043,156195.5971508409,2006,17016.98
E12000008,South East,502802.1962601043,156195.5971508409,2007,17823.4
E12000008,South East,502802.1962601043,156195.5971508409,2008,18166.29
E12000008,South East,502802.1962601043,156195.5971508409,2009,18512.97
E12000008,South East,502802.1962601043,156195.5971508409,2010,18571.53
E12000008,South East,502802.1962601043,156195.5971508409,2011,18770.02
E12000008,South East,502802.1962601043,156195.5971508409,2012,19462.45
E12000008,South East,502802.1962601043,156195.5971508409,2013,20273.58
E12000008,South East,502802.1962601043,156195.5971508409,2014,20758.39
E12000008,South East,502802.1962601043,156195.5971508409,2015,21988.73
E12000008,South East,502802.1962601043,156195.5971508409,2016,22257.52
E12000008,South East,502802.1962601043,156195.5971508409,2017,22807.11
E12000008,South East,502802.1962601043,156195.5971508409,2018,23623.44
E12000008,South East,502802.1962601043,156195.5971508409,2019,24347.9
E12000008,South East,502802.1962601043,156195.5971508409,2020,23997.92
E12000008,South East,502802.1962601043,156195.5971508409,2021,24768.23
E12000009,South West,319843.73766615393,122601.65256339403,1997,11145.86
E12000009,South West,319843.73766615393,122601.65256339403,1998,11339
E12000009,South West,319843.73766615393,122601.65256339403,1999,11723.75
E12000009,South West,319843.73766615393,122601.65256339403,2000,12116.57
E12000009,South West,319843.73766615393,122601.65256339403,2001,12575.89
E12000009,South West,319843.73766615393,122601.65256339403,2002,12745.04
E12000009,South West,319843.73766615393,122601.65256339403,2003,13031.04
E12000009,South West,319843.73766615393,122601.65256339403,2004,13476.64
E12000009,South West,319843.73766615393,122601.65256339403,2005,14051.61
E12000009,South West,319843.73766615393,122601.65256339403,2006,14786.11
E12000009,South West,319843.73766615393,122601.65256339403,2007,15266.68
E12000009,South West,319843.73766615393,122601.65256339403,2008,15776.61
E12000009,South West,319843.73766615393,122601.65256339403,2009,16008.64
E12000009,South West,319843.73766615393,122601.65256339403,2010,16336.46
E12000009,South West,319843.73766615393,122601.65256339403,2011,16533.39
E12000009,South West,319843.73766615393,122601.65256339403,2012,16951.79
E12000009,South West,319843.73766615393,122601.65256339403,2013,17609.68
E12000009,South West,319843.73766615393,122601.65256339403,2014,18192.25
E12000009,South West,319843.73766615393,122601.65256339403,2015,19026
E12000009,South West,319843.73766615393,122601.65256339403,2016,19185.04
E12000009,South West,319843.73766615393,122601.65256339403,2017,19587.07
E12000009,South West,319843.73766615393,122601.65256339403,2018,20293
E12000009,South West,319843.73766615393,122601.65256339403,2019,20976.93
E12000009,South West,319843.73766615393,122601.65256339403,2020,20839.11
E12000009,South West,319843.73766615393,122601.65256339403,2021,21437.57
W92000004,Wales,281724.74180894694,267852.45306876063,1997,9269.68
W92000004,Wales,281724.74180894694,267852.45306876063,1998,9293.32
W92000004,Wales,281724.74180894694,267852.45306876063,1999,9703.18
W92000004,Wales,281724.74180894694,267852.45306876063,2000,10259.86
W92000004,Wales,281724.74180894694,267852.45306876063,2001,10666.68
